Order ID,Order Date,First Name,Last Name,Product & Category,Sub Category,Customer Segment,City,State,Region,Quantity,Unit Price,Sales,Profit,Tax,Total,Payment Mode,Sales Person,Customer Type,Notes
ORD-00001,15-03-2023,Nithya,  Sharma ,  SketcH kit - oFfICe SupPLIEs ,art,COrPoRaTe,  Lucknow, Uttar Pradesh ,North,10,5809.57,"Rs. 22,681",781,10457.23,21567.95,Cash,"Rs. 9,935",New,address pending
ORD-00002,16-03-2023,Suresh,Rajan,DiGITaL cOPiEr - TECHnologY,CopiErs,CORpOraTE,Kolkata, West Bengal,East,4,4188.65,"Rs. 20,507",1109,2865.04,16677.6,  Credit Card ,"Rs. 15,413",Returning, duplicate check
ORD-00004,18-03-2023,Kavya,Krishnan,meetING TaBLE - fURnITUre,TABLES,CorpoRAte,Hyderabad, Telangana,South,9,7255.36,"Rs. 18,723",4222,9402.95,16935.7,UPI,"Rs. 19,381",Regular,  follow up required
ORD-00006,20-03-2023,Ajay,  Mohan ,RiNg bINdEr - OfficE SUppLIES,bindERS,HOMe OFfiCE,  Ahmedabad, Gujarat ,West,10,6108.07,"Rs. 23,695",2844,8245.89,21791.5,Credit Card,"Rs. 3,535",Premium,missing phone number
ORD-00007,21-03-2023,Santhosh,Mohan,RING bIndEr - OFFICE SUpPlieS,bindERs,coNSUmEr,  Chandigarh, Punjab ,North,7,4644.52,"Rs. 13,377",1530,4681.68,11053.6,Net Banking,"Rs. 12,710",Regular, discount approval
ORD-00008,22-03-2023,Ramesh,Nair,preMIum NOteBook - OFFiCE SupPliES,PApEr,cOrPorATe,Pune, Maharashtra,West,9,5806.06,"Rs. 6,367",280,9405.82,6176.3,Credit Card,"Rs. 24,911",New, duplicate check
ORD-00009,23-03-2023,Santhosh,Devi,Table LAmp - fuRnitUre,  FUrnIShiNgS ,cORPorate,Ranchi, Jharkhand,East,8,6115.17,"Rs. 2,097",2944,6604.38,1970.6,Cash,"Rs. 11,126",Premium, discount approval
ORD-00010,24-03-2023,Bala,  Varma ,skEtCH KiT - OFFiCE SUpPLieS,art,consumeR,Ranchi, Jharkhand,East,10,730.08,"Rs. 13,870",2360,1182.73,12010.5,Credit Card,"Rs. 8,777",Premium, discount approval
ORD-00011,25-03-2023,Kavya,,MEEtING TabLE - FuRniTure,TabLES,corPoRatE,Chennai, Tamil Nadu,South,10,6219.69,"Rs. 1,104",749,10075.9,1197.8,Debit Card,"Rs. 6,028",Premium,
ORD-00012,26-03-2023,Bala,Rajan,sCANNer MaCHINE - tecHnology,MAChinEs,corpOrATe,Jaipur, Rajasthan,West,3,1632.23,"Rs. 11,917",1843,749.19,12143,UPI,"Rs. 4,821",New,
